Canonical Pathways	Late	Early
NF-KB Signaling	-0.816	0
Pathogen Induced Cytokine Storm Signaling Pathway	0.775	0.447
ISGylation Signaling Pathway	1.414	0.447
Cachexia Signaling Pathway	1.604	0.447
Systemic Lupus Erythematosus in B Cell Signaling Pathway	0.243	1.342
Role of PKR in Interferon Induction and Antiviral Response	1.265	2
Stress Granule Signaling Pathway	2.121	2
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.121	2
OAS antiviral response	2.236	2
Interferon gamma signaling	2.714	2
ISG15 antiviral mechanism	1.89	2.236
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	3	2.236
Interferon alpha/beta signaling	4.146	3.162
FAK Signaling	-2.5	
IL-33 Signaling Pathway	-2.449	
IL-8 Signaling	-2.333	
IGF-1 Signaling	-2.236	
Chronic Myeloid Leukemia Signaling	-2.236	
Colorectal Cancer Metastasis Signaling	-2.121	
Molecular Mechanisms of Cancer	-2.065	
cAMP-mediated signaling	-2	
Pulmonary Fibrosis Idiopathic Signaling Pathway	-2	
Ephrin Receptor Signaling	-2	
Relaxin Signaling	-2	
Protein Kinase A Signaling	-2	
HGF Signaling	-2	
Small Cell Lung Cancer Signaling	-2	
Extra-nuclear estrogen signaling	-2	
Opioid Signaling Pathway	-2	
Cardiac Hypertrophy Signaling (Enhanced)	-1.897	
Coronavirus Pathogenesis Pathway	-1.897	
B Cell Receptor Signaling	-1.89	
G-Protein Coupled Receptor Signaling	-1.732	
Role of JAK family kinases in IL-6-type Cytokine Signaling	-1.633	
MSP-RON Signaling in Cancer Cells Pathway	-1.633	
Role of Tissue Factor in Cancer	-1.633	
ILK Signaling	-1.633	
Activin Inhibin Signaling Pathway	-1.414	
ERK/MAPK Signaling	-1.342	
Chaperone Mediated Autophagy Signaling Pathway	-1.342	
Transcriptional regulation of granulopoiesis	-1.342	
Signaling by Rho Family GTPases	-1.342	
Eicosanoid Signaling	-1.342	
IL-13 Signaling Pathway	-1.342	
PI3K/AKT Signaling	-1.342	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	-1.342	
Role of JAK2 in Hormone-like Cytokine Signaling	-1.342	
IL-7 Signaling Pathway	-1.342	
