"Gene","lfc","padj","Stage","Significant","Regulation"
"MIP-1β",-1.10308591429217,0.047894563985878,"Early",TRUE,"Down"
"RANTES",-2.19778941874557,0.047894563985878,"Early",TRUE,"Down"
"ITAC",-1.02854194455983,0.104872723316987,"Early",FALSE,"None"
"OPN",1.16263603240893,0.198119967378046,"Early",FALSE,"None"
"Fibrinogen",0.346519764622904,0.213116998803899,"Early",FALSE,"None"
"tPA",-0.647270452131179,0.213116998803899,"Early",FALSE,"None"
"Factor XIII",0.300937162084466,0.572003989490833,"Early",FALSE,"None"
"MIG",-0.742490649033117,0.64007040587514,"Early",FALSE,"None"
"CXCL8",-0.282581144020066,0.64007040587514,"Early",FALSE,"None"
"IL-1β",0.6287418942578,0.64007040587514,"Early",FALSE,"None"
"Prothrombin",-0.207169997639099,0.64007040587514,"Early",FALSE,"None"
"CRP",0.907483869495367,0.64007040587514,"Early",FALSE,"None"
"NGAL",-0.166925002846199,0.64007040587514,"Early",FALSE,"None"
"SAA",0.797898051395155,0.64007040587514,"Early",FALSE,"None"
"IGFBP4",0.305743419797434,0.719505464832033,"Early",FALSE,"None"
"PAI-1",-0.605818464878503,0.719505464832033,"Early",FALSE,"None"
"IL-10",0.723795183008652,0.719505464832033,"Early",FALSE,"None"
"IL-8",0.601226049176878,0.719505464832033,"Early",FALSE,"None"
"GM-CSF",0.63790026531823,0.719505464832033,"Early",FALSE,"None"
"Eotaxin",-0.498199593437877,0.719505464832033,"Early",FALSE,"None"
"Cystatin C",0.311489841319634,0.76914598752258,"Early",FALSE,"None"
"MCP-1",-0.240265670415956,0.804228748068575,"Early",FALSE,"None"
"IFN-β",0.509997696547431,0.829222433478993,"Early",FALSE,"None"
"TGF-β1",-0.641542608166981,0.899112372111442,"Early",FALSE,"None"
"Antithrombin",-0.0841594244296253,0.899112372111442,"Early",FALSE,"None"
"TNF-α",0.557272133813025,0.899112372111442,"Early",FALSE,"None"
"PSGL-1",0.0414062790968153,0.899112372111442,"Early",FALSE,"None"
