"Gene","lfc","padj","Stage","Significant","Regulation"
"TCF7",0.862804822420536,3.03620920531176e-06,"Early",FALSE,"None"
"CD9",1.00399998748378,5.57651068179385e-05,"Early",TRUE,"Up"
"MME",-1.96496657165501,6.39879470718221e-05,"Early",TRUE,"Down"
"IFNGR1",-1.79351954374981,0.000139734551373172,"Early",TRUE,"Down"
"CLU",1.13665138927045,0.000154446304175397,"Early",TRUE,"Up"
"PPBP",0.934231723686207,0.000253034426747354,"Early",FALSE,"None"
"PPIA",0.795004195034439,0.000341418071246731,"Early",FALSE,"None"
"FCGR1A",-1.68980695489484,0.000500382928921543,"Early",TRUE,"Down"
"ZEB1",0.683535915922888,0.000500382928921543,"Early",FALSE,"None"
"CLEC4E",-1.72299265277459,0.000659818601292305,"Early",TRUE,"Down"
"TLR8",-1.57608420756092,0.000659818601292305,"Early",TRUE,"Down"
"CXCR1",-1.65047209360699,0.000829161443027698,"Early",TRUE,"Down"
"TLR2",-1.5735960361435,0.00315617246897144,"Early",TRUE,"Down"
"CD3E",0.781276546606268,0.0030600498909414,"Early",FALSE,"None"
"CSF3R",-1.48968114227666,0.00361937798417881,"Early",TRUE,"Down"
"CD3D",0.933574831277399,0.00361937798417881,"Early",FALSE,"None"
"CD99",0.928721541036726,0.00361937798417881,"Early",FALSE,"None"
"CXCR2",-1.53322723273171,0.00382916318641377,"Early",TRUE,"Down"
"TLR4",-1.41667590438667,0.00485056939727845,"Early",TRUE,"Down"
"LILRB3",0.512381294785162,0.00370136594778304,"Early",FALSE,"None"
"B2M",0.465076792857731,0.00370136594778304,"Early",FALSE,"None"
"ITGA5",-1.45684589554245,0.00604912241962472,"Early",TRUE,"Down"
"CEACAM8",-1.4274795178278,0.00604912241962472,"Early",TRUE,"Down"
"BST2",-1.22793661245759,0.00673146588671134,"Early",TRUE,"Down"
"PLAUR",0.542971809980885,0.0055773156166101,"Early",FALSE,"None"
"IL17RA",-1.34010060831249,0.00695615579750445,"Early",TRUE,"Down"
"AKT3",0.76352551402419,0.00604912241962472,"Early",FALSE,"None"
"MAP2K4",0.777953478800395,0.00695615579750445,"Early",FALSE,"None"
"GNAQ",-1.34577276631607,0.00733867853556503,"Early",TRUE,"Down"
"PTAFR",-1.25230104555332,0.00733867853556503,"Early",TRUE,"Down"
"TLR6",-1.35131174985333,0.00733867853556503,"Early",TRUE,"Down"
"IRF1",-1.20879277647551,0.00733867853556503,"Early",TRUE,"Down"
"CR1",0.532799537070146,0.00604912241962472,"Early",FALSE,"None"
"PTGS2",-1.39648991609848,0.00768462484608104,"Early",TRUE,"Down"
"C3AR1",0.493469045414263,0.00652991398032798,"Early",FALSE,"None"
"ARG2",-1.29184190970668,0.00867161079179128,"Early",TRUE,"Down"
"FCAR",-1.34180314900375,0.00907000255670165,"Early",TRUE,"Down"
"FKBP5",-1.16565830417268,0.00921580537863136,"Early",TRUE,"Down"
"PYCARD",-1.26385269746122,0.00921580537863136,"Early",TRUE,"Down"
"SIRPA",-1.2203935721368,0.00921580537863136,"Early",TRUE,"Down"
"IL1R2",-1.37372884852043,0.00921580537863136,"Early",TRUE,"Down"
"TRAF6",0.495975668793239,0.00733867853556503,"Early",FALSE,"None"
"HLA-DMA",-1.19853766110549,0.010195846227675,"Early",TRUE,"Down"
"UBE2L3",0.71356480937796,0.00976929969969107,"Early",FALSE,"None"
"CUL9",0.482883433348548,0.00823797767385823,"Early",FALSE,"None"
"FPR2",0.496914823681711,0.0084033472463557,"Early",FALSE,"None"
"TLR1",-1.29022031730062,0.011273419190625,"Early",TRUE,"Down"
