"Gene","lfc","padj","Stage","Significant","Regulation"
"MX1",2.85292025921373,2.4316239735218e-08,"Early",TRUE,"Up"
"OASL",1.55284694220304,2.07905226857316e-07,"Early",TRUE,"Up"
"CXCL10",2.05775290674857,2.07905226857316e-07,"Early",TRUE,"Up"
"IFI44",2.39409550489734,6.66416162549319e-06,"Early",TRUE,"Up"
"OAS3",1.9899796846658,9.21404578776196e-06,"Early",TRUE,"Up"
"OAS2",1.87371836774853,7.26561829887934e-05,"Early",TRUE,"Up"
"IFIT1",2.1684990544176,7.26561829887934e-05,"Early",TRUE,"Up"
"IFIT3",2.20810202448939,7.26561829887934e-05,"Early",TRUE,"Up"
"IFI35",0.801522651948904,8.11219560684421e-05,"Early",FALSE,"None"
"PML",0.823479524914691,0.000187967449813698,"Early",FALSE,"None"
"DDX58",1.57134008255701,0.000282813378201105,"Early",TRUE,"Up"
"IFIT2",1.9650984213746,0.000464952461478255,"Early",TRUE,"Up"
"TLR8",-1.1435594935549,0.00162971286803015,"Early",TRUE,"Down"
"EIF2AK2",1.22698401830377,0.00174479861190934,"Early",TRUE,"Up"
"TNFSF13B",1.28386589004255,0.00286778769904044,"Early",TRUE,"Up"
"MX2",1.39317046116788,0.00393236088271799,"Early",TRUE,"Up"
"CLEC4E",-1.29974930668041,0.00393236088271799,"Early",TRUE,"Down"
"RUNX1",-0.727181897964504,0.00665580110795215,"Early",FALSE,"None"
"TGFBR1",-0.925159815018427,0.00668121190566815,"Early",FALSE,"None"
"IFIH1",1.1693327739393,0.00766827439042291,"Early",TRUE,"Up"
"STAT2",1.06962434780488,0.0103406959390336,"Early",TRUE,"Up"
"MME",-1.08494847000092,0.0128299282280241,"Early",TRUE,"Down"
"GBP1",1.27004196967749,0.0155360470524771,"Early",TRUE,"Up"
"CLEC4A",-1.0378374096502,0.0185384205191757,"Early",TRUE,"Down"
"IRF7",0.733859755195459,0.0259545422267066,"Early",FALSE,"None"
"RAF1",-0.591973646569041,0.0295411943217408,"Early",FALSE,"None"
"LITAF",-0.793524034244186,0.0325572116140876,"Early",FALSE,"None"
"NCF4",-0.757572929259811,0.0380971784376247,"Early",FALSE,"None"
"CXCR1",-0.980367923609954,0.0385484763733742,"Early",FALSE,"None"
"IL16",-0.651270581160377,0.0385484763733742,"Early",FALSE,"None"
"MAPK14",-0.605912718024647,0.0385484763733742,"Early",FALSE,"None"
"IL1R2",-1.36140231551144,0.0436679360395695,"Early",TRUE,"Down"
"FCAR",-0.974787563638443,0.0466565416730359,"Early",FALSE,"None"
"ATG7",-0.532015270539262,0.0466565416730359,"Early",FALSE,"None"
"ITGA5",-0.85887627403388,0.0516358245351178,"Early",FALSE,"None"
"IDO2",-0.809808059496583,0.0466565416730359,"Early",FALSE,"None"
"CXCR2",-0.935965791136253,0.0520659187096621,"Early",FALSE,"None"
"NFKB2",-0.556859789750082,0.0485712708385229,"Early",FALSE,"None"
"HDAC4",-0.570911020860839,0.0520659187096621,"Early",FALSE,"None"
"SIRPA",-0.838024436387421,0.0625382307318402,"Early",FALSE,"None"
"MMP9",-0.906045829480126,0.0625382307318402,"Early",FALSE,"None"
"OAS1",0.982888657218574,0.0642347619534699,"Early",FALSE,"None"
"FCGRT",-0.636759573516565,0.0629171083877702,"Early",FALSE,"None"
"TLR1",-0.647328393101006,0.0793937259958034,"Early",FALSE,"None"
"EGR1",0.713612222463087,0.0625382307318402,"Early",FALSE,"None"
"IFNGR1",-0.817474307800254,0.0848188160999228,"Early",FALSE,"None"
"SMAD2",-0.541621124023402,0.0897809486488069,"Early",FALSE,"None"
"STAT5B",-0.752163594423561,0.0897809486488069,"Early",FALSE,"None"
"IFNAR2",-0.643513699119767,0.0897809486488069,"Early",FALSE,"None"
"CEACAM8",-0.777233376353191,0.103852014212654,"Early",FALSE,"None"
"PRKCD",-0.634931214313623,0.102257959457754,"Early",FALSE,"None"
